,loc,prod,ExportValue,time,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca,POPIS,description,relatedness,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,CZE_WorldMarketShare,CZE_EUMarketShare,PCI_Rank,PCI_Percentile,relatedness_Rank,relatedness_Percentile
0,CZE,10121,5512779.0,2022,1422,12,0,1.5819559762859883,0.8636067565377423,0.24133432246298642,1.3668509850132495,0.1871617867555759,0.36946853065717994,"Plemenní čistokrevní koně, živí","Horses: live, pure-bred breeding animals",0.24133432246298653,1518974233.0,627421708.0,IRL,0.4130561890841502,0.18749108727588662,0.27650435938144535,0.003629277495453078,0.00878640144213818,2349.0,41.901534070638604,861.0,15.358544416696397
1,CZE,10129,2728902.0,2022,1422,22,0,1.5819559762859883,1.2475392847767361,0.2827837916210593,1.3668509850132495,0.15355859056497015,0.10533269014578336,"Koně ostatní, živí","Horses: live, other than pure-bred breeding animals",0.2827837916210592,2637436677.0,957716159.0,DEU,0.36312384951337356,0.12688096916290575,0.17766782516119,0.00103467962806373,0.0028493849397397504,2906.0,51.83731716018551,2696.0,48.09133071708883
2,CZE,10130,0.0,2022,1422,12,0,1.5819559762859883,2.083753766754164,0.2848681548996568,1.3668509850132495,0.48807517461712757,0.0,"Osli, živí",Asses: live,0.2848681548996569,1837938.0,1444315.0,ITA,0.7858344514341615,0.22249879364183622,0.33394061399945857,0.0,0.0,4184.0,74.63432037103104,2787.0,49.714591509097396
3,CZE,10190,7046.0,2022,1422,15,0,1.5819559762859883,0.5408243199467491,0.25702980805294534,1.3668509850132495,0.16749511861821725,0.04008776796984982,Koně ostatní,Mules and hinnies: live,0.2570298080529454,17893201.0,7061210.0,IRL,0.39463089918902716,0.25626136057925564,0.18512053560685968,0.0003937808556445546,0.0009978459782388571,1969.0,35.12308241170175,1527.0,27.238672850517304
4,CZE,10221,35150132.0,2022,1422,30,1,1.5819559762859883,0.0599331252633097,0.3758375330975944,1.3668509850132495,-0.0,3.141148660588716,"Plemenný čistokrevný skot, živý","Cattle: live, pure-bred breeding animals",0.3758375330975943,1139188907.0,585571228.0,FRA,0.5140246928334951,0.06965023618036414,0.10354521043960742,0.03085540228140582,0.06002708179507754,1484.0,26.47163753121655,5412.0,96.53942204780593
5,CZE,10229,201678499.0,2022,1422,37,1,1.5819559762859883,0.08320823791871906,0.3554983627781279,1.3668509850132495,-0.0,2.771126372691495,"Skot ostatní, živý","Cattle: live, other than pure-bred breeding animals",0.3554983627781279,7409016238.0,3455559876.0,FRA,0.4663992850058591,0.08709218545746879,0.20381872095796955,0.027220685246391277,0.058363479794033814,1510.0,26.93542632893329,4956.0,88.4052800570817
6,CZE,10231,0.0,2022,1422,8,0,1.5819559762859883,0.5150632542145569,0.29541373019137246,1.3668509850132495,-0.0035622992486718653,0.0,"Plemenní čistokrevní buvoli, živí","Buffalo: live, pure-bred breeding animals",0.2954137301913725,9224033.0,573400.0,ITA,0.06216369780984088,0.6542193086881434,0.2967799162474395,0.0,0.0,1945.0,34.69496967534784,3238.0,57.75954334641455
7,CZE,10239,850069.0,2022,1422,6,0,1.5819559762859883,-0.43834248873988035,0.23810541950565758,1.3668509850132495,-0.08159742314313193,0.9222294950112274,"Buvoli ostatní, živí","Buffalo: live, other than pure-bred breeding animals",0.23810541950565756,93836640.0,3062359.0,ITA,0.03263500270256906,0.5800741760955425,0.22121367376180492,0.009059030672880018,0.2775863313217033,1055.0,18.819122368890476,756.0,13.485551195148055
8,CZE,10290,2558158.0,2022,1422,27,0,1.5819559762859883,-0.26761058861649223,0.32176089294334825,1.3668509850132495,-0.21195061137337187,0.6198487251970973,Dobytek hovězí ostatní živý,"Bovine animals: live, other than cattle and buffalo",0.32176089294334814,420144739.0,102366337.0,FRA,0.2436454095406393,0.09703142481395452,0.14093229895545412,0.006088754094812074,0.024990227011834953,1195.0,21.316446664288264,4095.0,73.0467356403853
9,CZE,10310,2857398.0,2022,1422,15,1,1.5819559762859883,1.9349551594129126,0.3681562133501774,1.3668509850132495,0.0,1.707714804685771,Dobytek vepřový plemenný čistokrevný živý,"Swine: live, pure-bred breeding animals",0.3681562133501774,170338442.0,136279701.0,DNK,0.8000525271917187,0.1305127382369318,0.18654540567981193,0.016774827610551938,0.020967157830790957,3949.0,70.44238316089904,5294.0,94.43453442739921
10,CZE,10391,7628802.0,2022,1422,9,0,1.5819559762859883,2.175727236873858,0.3062896154461812,1.3668509850132495,0.18978013600601096,0.49812835926378934,"Dobytek vepřový ostatní živý,do 50kg","Swine: live, other than pure-bred breeding animals, weighing less than 50kg",0.30628961544618116,1559094191.0,1322221587.0,DNK,0.8480703697266229,0.32671922649700635,0.4236118082163677,0.004893098854474534,0.005769684956746966,4315.0,76.97110239029611,3618.0,64.5379950053514
